Schlüssel|Zeitstand|Planungsraumnummer|Einwohnerstand|Status 4: Kinderarmut|Kommentar
05100210|202012|05100210|7.709|46,307|gültig
05100211|202012|05100211|6.068|25,627|gültig
05100312|202012|05100312|4.025|39,192|gültig
05100313|202012|05100313|5.756|42,088|gültig
05100314|202012|05100314|7.335|57,799|gültig
05100315|202012|05100315|6.753|43,465|gültig
05100316|202012|05100316|10.341|44,017|gültig
05100317|202012|05100317|3.670|35,264|gültig
05200418|202012|05200418|3.839|3,846|gültig
05200419|202012|05200419|1.694|9,524|gültig
05200420|202012|05200420|5.780|17,758|gültig
05200421|202012|05200421|4.386|26,508|gültig
05200422|202012|05200422|1.057|22,772|gültig
05200423|202012|05200423|6.606|48,555|gültig
05200524|202012|05200524|3.367|9,845|gültig
05200525|202012|05200525|2.431|5,898|gültig
05200526|202012|05200526|5.734|67,368|gültig
05200527|202012|05200527|11.620|71,875|gültig
05200528|202012|05200528|7.019|20,23|gültig
05200629|202012|05200629|7.858|36,305|gültig
05200630|202012|05200630|9.806|38,361|gültig
05200631|202012|05200631|8.462|39,479|gültig
05200632|202012|05200632|3.739|47,463|gültig
05200633|202012|05200633|2.003|38,662|gültig
05200634|202012|05200634|4.436|8,052|gültig
05300735|202012|05300735|1.925|17,259|gültig
05300736|202012|05300736|3.667|36,881|gültig
05300737|202012|05300737|10.901|43,822|gültig
05300838|202012|05300838|21|-9.999|ungültig (EW unter 300)
05300839|202012|05300839|7.660|37,923|gültig
05300840|202012|05300840|486|32,075|gültig
05300841|202012|05300841|4.573|30,596|gültig
05400942|202012|05400942|3.642|8,372|gültig
05400943|202012|05400943|10.315|2,293|gültig
05400944|202012|05400944|2.198|2,662|gültig
05400945|202012|05400945|3.682|3,81|gültig
06100101|202012|06100101|6.988|6,737|gültig
06100102|202012|06100102|8.808|13,097|gültig
06100103|202012|06100103|6.281|6,762|gültig
06100204|202012|06100204|6.887|16,582|gültig
06100205|202012|06100205|9.881|17,698|gültig
06100206|202012|06100206|7.694|11,28|gültig
06100207|202012|06100207|8.008|14,88|gültig
06100208|202012|06100208|6.824|9,975|gültig
06100209|202012|06100209|9.339|13,233|gültig
06100210|202012|06100210|4.868|14,911|gültig
06200311|202012|06200311|4.937|14,215|gültig
06200312|202012|06200312|6.097|9,933|gültig
06200313|202012|06200313|7.410|24,333|gültig
06200314|202012|06200314|7.313|22,46|gültig
06200315|202012|06200315|5.841|15,337|gültig
06200316|202012|06200316|5.558|31,983|gültig
06200317|202012|06200317|6.402|11,223|gültig
06200418|202012|06200418|0|-9.999|ungültig (EW unter 300)
06200419|202012|06200419|4.636|35,793|gültig
06200420|202012|06200420|7.055|20,928|gültig
06200421|202012|06200421|8.349|16,797|gültig
06200422|202012|06200422|7.062|10,567|gültig
